"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Thomas Bryant","LAL","C","10.5","4.9","1.1","1.0","0.3",".566",".794","0.6","69","21.3","0.9"
"Nic Claxton","BKN","C,PF DTD","10.4","7.5","1.2","1.5","0.7",".650",".585","0.0","68","27.0","1.1"
"Isaiah Jackson","IND","PF","10.4","5.6","0.5","1.7","0.8",".542",".678","0.2","70","22.3","1.5"
"De'Anthony Melton","PHI","PG,SG","10.4","4.0","2.6","0.5","1.3",".410",".781","1.8","72","23.3","1.9"
"Talen Horton-Tucker","UTH","SG,SF","10.4","3.3","2.9","0.5","1.1",".424",".808","0.9","69","26.2","1.4"
"Austin Reaves","LAL","SG","10.3","3.3","2.7","0.3","0.6",".449",".854","1.3","71","27.9","0.9"
"Patrick Williams","CHI","SF,PF","10.3","4.4","1.2","0.6","0.9",".489",".726","1.1","69","28.7","1.1"
"Robert Williams III","BOS","C,PF DTD","10.3","10.5","2.0","2.2","0.9",".731",".729","0.0","56","29.6","1.9"
"JaVale McGee","DAL","C","10.1","7.5","0.8","1.3","0.4",".588",".699","0.0","74","19.0","1.6"
"Luke Kennard","LAC","SG,SF DTD","10.0","3.2","1.9","0.1","0.6",".445",".878","2.2","71","23.4","0.9"
"Quentin Grimes","NYK","SG","10.0","2.7","1.4","0.3","0.9",".422",".720","2.2","70","25.1","1.2"
"Jalen Williams","OKC","SG","10.0","1.8","2.3","0.3","0.9",".442",".765","1.0","71","23.1","1.4"
"Duncan Robinson","MIA","SG,SF DTD","10.0","2.2","1.3","0.2","0.5",".412",".853","2.8","74","25.0","0.8"
"Jeff Green","DEN","SF,PF DTD","9.9","3.3","1.3","0.3","0.4",".497",".828","1.0","76","23.8","0.9"
"Joshua Primo","SAS","SG DTD","9.9","2.9","2.7","0.7","0.5",".400",".750","1.3","71","26.1","1.9"
"Josh Richardson","SAS","SG,SF DTD","9.9","3.0","1.9","0.4","0.8",".431",".889","1.5","65","22.6","1.0"
"Goran Dragic","CHI","PG,SG","9.9","2.3","4.0","0.2","0.7",".410",".810","1.3","65","23.7","1.7"
"Obi Toppin","NYK","SF,PF DTD","9.9","4.7","1.2","0.6","0.4",".520",".739","0.8","73","20.0","1.0"
"Devonte' Graham","NOR","PG,SG","9.9","2.6","3.6","0.1","0.7",".379",".840","2.1","70","23.2","1.3"
"Davion Mitchell","SAC","SG,PG OUT","9.9","2.6","4.1","0.3","0.9",".399",".731","1.0","74","26.8","2.0"
"Ziaire Williams","MEM","SF,SG DTD","9.8","2.2","1.1","0.2","0.8",".455",".805","1.6","72","24.2","0.9"
"Nickeil Alexander-Walker","UTH","SG,SF,PG","9.8","2.7","2.4","0.4","0.7",".393",".738","1.6","59","20.8","1.4"
"Herbert Jones","NOR","SF","9.8","3.9","2.1","0.7","1.7",".472",".848","0.9","76","30.7","1.3"
"Precious Achiuwa","TOR","SF,PF,C","9.8","6.6","1.0","0.7","0.6",".461",".583","0.9","76","24.4","1.2"
"Reggie Bullock","DAL","SG,SF","9.8","3.4","1.3","0.2","0.7",".423",".846","2.4","72","29.1","0.9"
"Alec Burks","DET","SG,SF","9.8","4.3","2.2","0.2","0.7",".432",".833","1.5","71","21.7","1.0"
"Aleksej Pokusevski","OKC","SF,PF","9.7","6.2","2.5","0.8","0.7",".413",".756","1.2","69","25.0","1.5"
"Josh Christopher","HOU","SG","9.7","2.8","2.6","0.2","1.0",".432",".747","1.1","74","21.7","1.5"
"Jae Crowder","PHO","SF,PF DTD","9.6","4.8","1.8","0.4","1.3",".405",".788","1.9","69","27.1","0.8"
"Nassir Little","POR","SF","9.5","5.4","1.1","0.8","0.5",".470",".741","1.1","66","24.3","0.9"
"Cam Thomas","BKN","SG","9.5","1.7","1.2","0.1","0.4",".436",".841","0.8","63","17.5","0.8"
"Terrence Ross","ORL","SG,SF","9.5","3.1","1.7","0.2","0.6",".389",".894","1.3","62","20.4","1.0"
"Daniel Gafford","WAS","C,PF","9.4","6.0","0.9","1.4","0.5",".670",".696","0.0","71","20.3","1.0"
